                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0845,                0.76882,                0.93984,                 0.8625,                0.86584,                 0.9124,                 0.6723,                0.96682,                0.74722,                0.92187,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.1146,                0.79905,                0.96148,                0.87236,                 0.8349,                0.90581,                0.57373,                 1.2423,                0.78959,                0.98049,             0.00027778,             0.00027778,             0.00027778
                      3,                  1.121,                0.78864,                0.94899,                0.82572,                0.82798,                0.87748,                0.60988,                 1.1444,                0.87117,                0.98215,             0.00041626,             0.00041626,             0.00041626
                      4,                 1.1619,                0.80283,                0.96248,                0.75286,                0.82173,                0.87196,                0.62993,                0.99137,                0.81945,                0.92324,             0.00054879,             0.00054879,             0.00054879
                      5,                 1.1285,                0.85336,                 0.9648,                0.79799,                0.86339,                 0.9111,                  0.618,                 1.1158,                0.76594,                0.95525,             0.00067539,             0.00067539,             0.00067539
                      6,                 1.1465,                0.87319,                0.95106,                0.77932,                0.82381,                0.86899,                0.61784,                 1.0293,                0.84044,                0.96623,             0.00079604,             0.00079604,             0.00079604
                      7,                 1.1755,                0.96162,                0.97193,                0.82502,                0.85971,                 0.8773,                0.59481,                 1.1145,                0.81622,                0.96326,             0.00091076,             0.00091076,             0.00091076
                      8,                 1.0925,                0.85988,                0.95265,                0.81907,                0.89256,                0.90411,                0.66948,                0.98047,                0.82871,                0.92549,              0.0010195,              0.0010195,              0.0010195
                      9,                 1.0984,                0.83759,                0.94717,                0.87028,                0.80896,                0.90795,                0.68448,                0.96382,                0.73263,                0.92487,              0.0011224,              0.0011224,              0.0011224
                     10,                 1.1095,                0.84352,                0.96313,                0.63752,                0.77305,                0.80882,                0.59381,                 1.0057,                 1.0352,                0.93221,              0.0012192,              0.0012192,              0.0012192
                     11,                 1.1189,                 0.8225,                0.95466,                0.84753,                   0.85,                0.89742,                0.62267,                 1.0903,                0.77564,                0.96063,              0.0013102,              0.0013102,              0.0013102
                     12,                 1.0821,                0.87154,                0.95209,                0.71178,                0.75514,                 0.8352,                0.61408,                0.95661,                0.97343,                0.91683,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1079,                0.82363,                0.95801,                0.84949,                0.85387,                0.91641,                0.66279,                0.99062,                0.72057,                0.92943,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.1263,                0.83592,                0.95146,                0.85399,                0.88125,                0.91706,                0.63383,                 1.1264,                0.75143,                0.95552,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.1006,                0.83871,                 0.9305,                0.75603,                0.80499,                0.88192,                0.65236,                0.94825,                0.80574,                0.91968,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.1055,                 0.7888,                0.94127,                0.88631,                0.85503,                 0.9153,                0.64829,                 1.0603,                0.72518,                0.94388,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.0781,                0.81374,                0.93312,                0.78311,                0.86377,                0.92029,                0.68746,                 0.9633,                0.73716,                0.93753,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.1368,                 0.8254,                0.96151,                 0.8599,                0.83099,                 0.9153,                0.65335,                 1.0669,                0.70792,                0.96298,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.1065,                0.79927,                0.95507,                0.87894,                0.78877,                0.89515,                0.63578,                 1.0882,                0.78231,                0.97836,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.1379,                0.77757,                0.93581,                0.70086,                0.83988,                  0.881,                0.63303,                 1.0359,                0.80701,                0.93449,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.0689,                0.73262,                0.92657,                0.65566,                0.75327,                0.84225,                0.62847,                0.99606,                0.96949,                0.92436,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.0726,                0.74243,                0.95301,                0.83603,                0.87275,                0.91372,                0.66083,                  1.048,                0.68175,                0.94827,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.0194,                0.77812,                0.91477,                0.82439,                 0.8875,                0.91415,                0.69598,                0.91088,                0.68778,                0.90713,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.0868,                0.77152,                0.93782,                0.85397,                0.87364,                0.92784,                0.70007,                0.94323,                0.70352,                0.91683,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.0352,                0.77228,                 0.9409,                0.80952,                0.79048,                0.83789,                0.59182,                 1.1583,                 1.0054,                 1.0037,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.0354,                0.73583,                0.92808,                0.86487,                0.81983,                0.91164,                0.69107,                0.94766,                0.69388,                 0.9157,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.0446,                 0.7514,                0.93113,                0.82967,                0.87232,                0.91411,                0.67917,                0.95745,                0.75837,                0.90998,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.0538,                  0.777,                0.94138,                0.90307,                0.82708,                0.92015,                0.68739,                0.94776,                0.67428,                0.90853,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.0137,                0.74608,                0.90873,                 0.6685,                0.73601,                0.85957,                0.64643,                0.93419,                 0.9745,                0.91286,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.0904,                0.76342,                0.94173,                0.80678,                0.81667,                 0.8997,                0.65439,                 0.9975,                0.78165,                0.92928,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.0644,                0.74451,                0.93717,                0.81477,                0.79761,                0.89243,                0.68088,                0.89162,                0.74157,                0.89958,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.0768,                0.75209,                0.94259,                0.80944,                0.80259,                0.89141,                0.64961,                 1.0293,                0.77174,                0.93545,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.0525,                0.77127,                0.93939,                0.83323,                0.80149,                0.90714,                0.65694,                 1.0385,                0.72833,                0.94127,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.0957,                0.72173,                0.93134,                0.92647,                0.80298,                0.90134,                 0.6458,                 1.0699,                0.79383,                0.98112,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.0333,                0.70317,                0.92232,                 0.9057,                0.84355,                0.92633,                0.68264,                0.95846,                0.63378,                0.92553,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1228,                0.74545,                0.93806,                0.90024,                0.81697,                0.91708,                0.62156,                 1.1168,                0.68556,                0.94803,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0682,                0.69351,                0.93501,                0.81333,                 0.8994,                0.91779,                0.69983,                0.90487,                 0.6466,                 0.9064,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.0167,                 0.6922,                0.92307,                0.92764,                0.84711,                0.94257,                0.72803,                0.91261,                0.60347,                0.90591,             0.00047876,             0.00047876,             0.00047876
                     39,                      1,                0.69935,                0.90544,                0.89003,                0.88862,                0.94298,                0.69361,                 1.0387,                0.63247,                0.93112,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.0195,                0.67982,                 0.9212,                0.93987,                0.85983,                0.94666,                 0.7383,                0.84956,                0.59329,                0.90473,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0166,                0.73435,                0.92493,                0.93797,                0.86637,                 0.9467,                0.72678,                0.89102,                0.62106,                0.90899,             0.00037974,             0.00037974,             0.00037974
                     42,                0.99657,                 0.7127,                0.92173,                0.94497,                0.86402,                0.94896,                0.71249,                0.93269,                0.63299,                0.91533,             0.00034674,             0.00034674,             0.00034674
                     43,                0.99668,                0.68972,                 0.9448,                0.90949,                0.88709,                0.94922,                0.67653,                 1.0457,                0.63581,                0.93189,             0.00031373,             0.00031373,             0.00031373
                     44,                0.97189,                0.65812,                0.93105,                0.84434,                0.90927,                0.93897,                0.71663,                 0.9015,                  0.609,                0.89655,             0.00028072,             0.00028072,             0.00028072
                     45,                0.98005,                0.67947,                0.92608,                0.83695,                0.89702,                0.93402,                0.73154,                0.84986,                0.61174,                0.88631,             0.00024772,             0.00024772,             0.00024772
                     46,                0.92118,                0.63548,                0.92874,                0.83208,                    0.9,                0.93886,                0.72545,                 0.8604,                0.60697,                0.89165,             0.00021471,             0.00021471,             0.00021471
                     47,                0.91839,                0.67004,                0.91707,                0.90798,                0.85545,                0.94379,                0.71477,                0.91101,                0.61904,                 0.9064,              0.0001817,              0.0001817,              0.0001817
                     48,                0.96819,                0.66936,                0.91037,                0.91387,                0.85983,                0.94418,                0.71832,                0.90069,                0.58877,                0.90495,              0.0001487,              0.0001487,              0.0001487
                     49,                0.93485,                0.64632,                0.91959,                0.90844,                0.87782,                0.94619,                0.72336,                0.89089,                0.58197,                0.89996,             0.00011569,             0.00011569,             0.00011569
                     50,                0.90928,                0.64622,                0.92015,                0.89089,                0.88509,                0.94659,                0.72676,                0.88906,                 0.5912,                0.89624,             8.2683e-05,             8.2683e-05,             8.2683e-05
