                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4819,                 18.738,                 4.2467,                      0,                      0,                      0,                      0,                 6.7264,                 12.425,                 4.1639,             0.00011669,             0.00011669,             0.00011669
                      2,                 6.2279,                 13.967,                 3.9877,                      0,                      0,                      0,                      0,                 6.7282,                 12.515,                 4.1761,             0.00024757,             0.00024757,             0.00024757
                      3,                 5.0713,                   9.55,                  3.675,                      0,                      0,                      0,                      0,                 6.7314,                 12.591,                 4.1975,             0.00037582,             0.00037582,             0.00037582
                      4,                 4.0965,                 6.7981,                 3.1896,                      0,                      0,                      0,                      0,                 6.7374,                 12.636,                  4.234,             0.00050142,             0.00050142,             0.00050142
                      5,                 3.1564,                 5.6265,                 2.8419,                      0,                      0,                      0,                      0,                  6.746,                 12.496,                 4.2812,             0.00062438,             0.00062438,             0.00062438
                      6,                 2.9582,                 4.2035,                 2.4397,                      0,                      0,                      0,                      0,                 6.7547,                 12.137,                 4.3296,             0.00074471,             0.00074471,             0.00074471
                      7,                 2.8771,                 3.7932,                 2.1855,                      0,                      0,                      0,                      0,                 6.7618,                 11.988,                 4.3678,             0.00086239,             0.00086239,             0.00086239
                      8,                 2.4984,                 3.3274,                 1.9303,                      0,                      0,                      0,                      0,                 6.7675,                 11.669,                 4.4105,             0.00097743,             0.00097743,             0.00097743
                      9,                 2.5193,                 3.2689,                 1.9155,                      0,                      0,                      0,                      0,                 6.7557,                 10.796,                 4.3876,              0.0010898,              0.0010898,              0.0010898
                     10,                  2.373,                 3.1378,                 1.8516,                      0,                      0,                      0,                      0,                 6.7444,                 10.717,                 4.3525,              0.0011996,              0.0011996,              0.0011996
                     11,                 2.2911,                 2.6684,                 1.6295,                      0,                      0,                      0,                      0,                 6.7311,                 10.618,                  4.299,              0.0013067,              0.0013067,              0.0013067
                     12,                 2.2791,                 2.7602,                 1.6669,                      0,                      0,                      0,                      0,                 6.7124,                 10.299,                 4.2014,              0.0014112,              0.0014112,              0.0014112
                     13,                 2.0446,                 2.5108,                 1.4396,                      0,                      0,                      0,                      0,                 6.6558,                 10.412,                 3.9937,               0.001469,               0.001469,               0.001469
                     14,                 2.0601,                 2.3524,                 1.4952,                0.00084,                0.07007,                 0.0005,                0.00026,                 4.5917,                 8.1569,                 3.0272,               0.001469,               0.001469,               0.001469
                     15,                 2.0318,                 2.3487,                 1.4633,                0.00595,                0.53329,                0.02035,                0.00554,                 2.5473,                 4.5385,                 2.1809,              0.0014525,              0.0014525,              0.0014525
                     16,                  1.902,                 2.3279,                  1.348,                0.60636,                0.06548,                0.11451,                 0.0383,                 2.1375,                 3.4461,                 1.7286,               0.001436,               0.001436,               0.001436
                     17,                 1.8921,                 2.2429,                 1.3233,                0.28915,                0.39245,                0.29286,                0.10217,                 1.9353,                 2.6147,                 1.4755,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.8188,                   2.13,                 1.3365,                0.36482,                0.61202,                 0.4557,                0.21966,                 1.6867,                 2.1095,                 1.3153,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.8152,                  2.068,                 1.2934,                0.35332,                0.56395,                0.44563,                0.20949,                 1.6653,                 1.9619,                 1.2895,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.7499,                  2.009,                 1.2316,                0.45234,                0.64709,                 0.5007,                0.26992,                 1.6067,                  1.799,                 1.2488,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.7174,                 1.9974,                 1.2583,                0.41639,                0.62555,                0.51682,                0.28115,                 1.5921,                 1.8105,                 1.2274,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.7361,                 1.9424,                  1.231,                0.43618,                0.62646,                 0.5521,                0.28938,                 1.6202,                 1.7007,                 1.2079,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.6965,                 1.9425,                 1.2077,                0.42319,                0.72084,                0.51184,                0.27751,                 1.5745,                 1.7237,                 1.1796,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.6664,                  1.827,                 1.1865,                0.42927,                0.69587,                0.51051,                0.28371,                 1.5173,                 1.7443,                 1.1534,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.6244,                 1.8174,                 1.1959,                 0.4595,                0.60906,                0.53046,                0.27165,                 1.7044,                 1.7126,                 1.2014,              0.0012874,              0.0012874,              0.0012874
                     26,                  1.661,                 1.8512,                 1.1333,                0.48484,                0.57244,                0.51116,                0.26375,                 1.7118,                 1.7223,                 1.2085,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.5495,                  1.704,                 1.1034,                0.41588,                0.61563,                0.51393,                0.28229,                  1.583,                 1.6566,                 1.1607,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.5962,                 1.7002,                 1.1247,                0.54337,                0.65143,                0.62053,                0.37743,                 1.4476,                 1.6318,                 1.1104,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.4995,                 1.6622,                 1.1493,                0.51029,                0.67549,                0.61547,                0.36856,                 1.4735,                 1.5496,                  1.126,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.5385,                 1.7087,                 1.1028,                0.45438,                0.65244,                0.55564,                0.26748,                 1.6986,                  1.748,                 1.2089,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.5743,                  1.682,                 1.1247,                0.42856,                0.64341,                 0.5229,                0.25623,                 1.6837,                 1.6963,                 1.1724,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.5854,                 1.6917,                 1.1342,                0.50896,                0.59922,                0.52945,                0.30554,                 1.4566,                 1.6339,                 1.1044,              0.0011719,              0.0011719,              0.0011719
                     33,                  1.593,                 1.5739,                 1.1248,                0.58044,                0.57457,                0.60876,                0.35432,                 1.4367,                 1.6311,                 1.0966,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.5179,                 1.5312,                 1.0904,                0.56908,                0.66109,                0.63925,                0.34559,                 1.5512,                 1.5426,                 1.1304,              0.0011389,              0.0011389,              0.0011389
