                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4819,                 18.738,                 4.2467,                      0,                      0,                      0,                      0,                 6.7264,                 12.425,                 4.1639,             0.00011669,             0.00011669,             0.00011669
                      2,                 6.2322,                 13.982,                 3.9908,                      0,                      0,                      0,                      0,                 6.7282,                 12.515,                  4.176,              0.0002451,              0.0002451,              0.0002451
                      3,                 5.0917,                 9.5969,                 3.6755,                      0,                      0,                      0,                      0,                 6.7313,                 12.591,                 4.1971,             0.00036823,             0.00036823,             0.00036823
                      4,                 4.1051,                 6.8016,                 3.1879,                      0,                      0,                      0,                      0,                 6.7373,                 12.645,                 4.2333,             0.00048607,             0.00048607,             0.00048607
                      5,                 3.2489,                  5.888,                 2.8293,                      0,                      0,                      0,                      0,                  6.746,                 12.535,                 4.2811,             0.00059864,             0.00059864,             0.00059864
                      6,                 3.0353,                 4.2899,                 2.4793,                      0,                      0,                      0,                      0,                 6.7546,                 12.247,                 4.3284,             0.00070592,             0.00070592,             0.00070592
                      7,                 3.0159,                 4.1683,                 2.1637,                      0,                      0,                      0,                      0,                 6.7635,                 12.244,                 4.3774,             0.00080793,             0.00080793,             0.00080793
                      8,                 2.5634,                 3.5341,                 1.9449,                      0,                      0,                      0,                      0,                 6.7742,                 12.165,                 4.4425,             0.00090465,             0.00090465,             0.00090465
                      9,                 2.5857,                 3.5137,                 1.9483,                      0,                      0,                      0,                      0,                 6.7713,                 11.374,                 4.4565,             0.00099609,             0.00099609,             0.00099609
                     10,                 2.4805,                 3.2147,                 1.9457,                      0,                      0,                      0,                      0,                 6.7668,                 11.282,                 4.4635,              0.0010823,              0.0010823,              0.0010823
                     11,                 2.4231,                 2.9576,                 1.6346,                      0,                      0,                      0,                      0,                 6.7537,                 11.161,                  4.425,              0.0011631,              0.0011631,              0.0011631
                     12,                 2.3263,                 2.9508,                  1.663,                      0,                      0,                      0,                      0,                 6.7425,                 11.451,                 4.3496,              0.0012387,              0.0012387,              0.0012387
                     13,                 2.1125,                 2.6446,                 1.4511,                      0,                      0,                      0,                      0,                 6.7079,                 11.111,                 4.1606,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.0531,                 2.4637,                 1.5031,                0.00057,                0.05519,                0.00033,                 0.0001,                 5.5168,                 9.0619,                 3.2772,              0.0012709,              0.0012709,              0.0012709
                     15,                 2.0495,                 2.3868,                  1.485,                0.00698,                0.65744,                0.05963,                0.01974,                  2.395,                 4.1601,                  2.096,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.9446,                 2.4404,                 1.3854,                0.61914,                0.08333,                0.16723,                0.05704,                 2.1041,                 3.2062,                  1.684,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.9599,                  2.326,                 1.3583,                0.30184,                0.44764,                0.30775,                0.10593,                  1.995,                 2.5083,                 1.4655,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.8633,                 2.2053,                 1.3512,                0.32927,                 0.5734,                0.37037,                 0.1711,                 1.7816,                 2.1513,                  1.359,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.8771,                 2.2142,                 1.3334,                0.31958,                0.54974,                 0.4038,                0.19143,                 1.7154,                 2.0617,                 1.2714,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.7452,                 2.0996,                  1.226,                0.38063,                0.64846,                0.42571,                0.19444,                 1.7324,                 2.0227,                 1.2552,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.7677,                  2.168,                 1.2537,                0.46257,                0.66036,                0.49209,                  0.274,                 1.5612,                 1.9219,                 1.2068,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.8195,                  2.031,                 1.2492,                0.42418,                 0.6104,                0.46919,                0.23326,                 1.6303,                 1.8929,                  1.215,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.7407,                 2.0818,                 1.2138,                0.43385,                0.63974,                 0.4916,                0.25688,                 1.5957,                 1.7406,                 1.1806,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.6984,                 1.8541,                 1.1887,                0.42342,                0.69678,                0.49407,                0.26444,                 1.5416,                 1.7127,                 1.1672,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.6762,                 1.8841,                 1.2118,                0.46888,                0.71166,                0.51218,                0.25998,                 1.5969,                 1.7245,                 1.1818,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.7171,                 1.9119,                 1.1582,                0.47312,                0.67981,                0.51062,                0.30307,                 1.4368,                 1.6644,                 1.1217,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.6245,                 1.7838,                 1.1296,                0.48274,                0.64784,                0.50714,                0.28963,                 1.5155,                 1.6896,                 1.1371,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.6257,                 1.7844,                 1.1308,                0.50198,                0.63116,                0.51508,                0.29511,                 1.4895,                 1.6668,                 1.1307,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.5521,                 1.7561,                 1.1654,                0.48627,                0.64993,                0.53917,                0.32405,                 1.4322,                 1.6071,                 1.1242,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.5743,                 1.7633,                 1.1213,                0.44408,                0.69847,                0.51824,                0.30932,                 1.4285,                 1.7232,                 1.1394,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.5879,                 1.7577,                 1.1409,                0.44335,                0.69128,                0.51503,                0.29689,                   1.48,                 1.7113,                  1.142,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.5728,                 1.7517,                 1.1384,                0.47586,                0.67859,                0.55042,                0.31352,                 1.4676,                 1.6447,                 1.1269,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.5843,                 1.6259,                 1.1238,                0.52899,                0.64964,                0.57158,                0.36104,                 1.3974,                 1.5673,                 1.0985,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.5191,                 1.6763,                 1.0921,                0.47469,                0.67136,                 0.5508,                0.32888,                 1.4359,                 1.5916,                 1.1203,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.5425,                 1.6406,                 1.1071,                0.44179,                0.80741,                0.54392,                0.28607,                 1.5524,                 1.6202,                 1.1474,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.5411,                 1.7373,                 1.1414,                0.50932,                0.73184,                0.61866,                0.39311,                 1.3701,                  1.501,                 1.0922,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.5647,                 1.5851,                 1.1128,                0.51354,                0.71817,                0.61574,                 0.3926,                 1.3842,                 1.4525,                 1.0904,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.5421,                 1.6116,                 1.1148,                0.55492,                0.67983,                0.62607,                0.36106,                 1.5373,                 1.5202,                 1.1337,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.5776,                 1.5987,                 1.0893,                0.51957,                0.73663,                0.59928,                0.34071,                 1.5039,                 1.5814,                 1.1295,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.5513,                 1.5803,                 1.0737,                0.50632,                 0.6819,                 0.5777,                0.34069,                 1.4929,                 1.5522,                 1.1222,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.6072,                  2.127,                 1.1826,                0.48244,                0.75772,                0.57844,                0.35182,                 1.4184,                  1.561,                 1.0911,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.4283,                 1.8475,                 1.1156,                0.48553,                0.73323,                0.62914,                0.35541,                 1.4954,                 1.6808,                 1.1084,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.4408,                 1.9101,                 1.1134,                0.52301,                0.63156,                0.61192,                0.32347,                  1.649,                 1.6625,                  1.154,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.4292,                  1.876,                 1.1212,                0.47805,                0.75131,                0.59871,                0.35649,                 1.4731,                 1.5728,                 1.0951,             0.00028072,             0.00028072,             0.00028072
                     45,                  1.399,                 1.7797,                  1.121,                0.48548,                0.77719,                0.62865,                0.38881,                 1.3771,                 1.4794,                 1.0705,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.4236,                 1.7498,                 1.0881,                0.55977,                0.64985,                0.65719,                0.40556,                 1.3704,                 1.4463,                 1.0683,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.3773,                 1.7192,                 1.1005,                0.60371,                0.66727,                0.65756,                 0.4048,                 1.3741,                 1.4517,                 1.0689,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.4016,                 1.6647,                 1.1156,                0.62006,                0.69199,                0.67455,                0.42536,                 1.3645,                 1.4169,                 1.0643,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.3467,                 1.6485,                 1.1017,                0.62339,                0.70344,                0.68522,                0.43781,                 1.3605,                  1.381,                 1.0612,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.4118,                 1.6423,                 1.0832,                0.62792,                0.69497,                0.68911,                0.44175,                 1.3536,                 1.3671,                 1.0584,             8.2683e-05,             8.2683e-05,             8.2683e-05
